"filename", "language", "JSON", "JavaScript", "Markdown", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\README.md", "Markdown", 0, 0, 29, 0, 0, 0, 5, 34
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Footer\Footer.module.scss", "SCSS", 0, 0, 0, 2, 0, -1, 1, 2
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\LoginSignUp\LoginSignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 146, 3, 9, 158
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\LoginSignUp\LoginSignUp.module.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Navbar\Navbar.module.scss", "SCSS", 0, 0, 0, 10, 0, 0, 1, 11
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\ShowCollection\ShowCollection.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 3, 48
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\ShowCollection\ShowCollection.module.scss", "SCSS", 0, 0, 0, 78, 0, 7, 18, 103
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Tabs\Tabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 4, 46
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Tabs\Tabs.module.scss", "SCSS", 0, 0, 0, 34, 0, 0, 8, 42
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\middleware\mongoose.js", "JavaScript", 0, 11, 0, 0, 0, 1, 4, 16
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\models\show.js", "JavaScript", 0, 20, 0, 0, 0, 0, 3, 23
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\models\user.js", "JavaScript", 0, 16, 0, 0, 0, 0, 3, 19
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\package.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\[show]\[episode].js", "JavaScript", 0, 203, 0, 0, 0, 2, 16, 221
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\[show]\index.js", "JavaScript", 0, 267, 0, 0, 0, 4, 15, 286
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\_app.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 26
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\add-shows.js", "JavaScript", 0, 69, 0, 0, 0, 1, 12, 82
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\add-user.js", "JavaScript", 0, 42, 0, 0, 0, 2, 7, 51
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\chk-user.js", "JavaScript", 0, 27, 0, 0, 0, 2, 5, 34
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-show.js", "JavaScript", 0, 12, 0, 0, 0, 1, 4, 17
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-shows.js", "JavaScript", 0, 8, 0, 0, 0, 1, 3, 12
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-specific-shows.js", "JavaScript", 0, 16, 0, 0, 0, 1, 4, 21
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-user.js", "JavaScript", 0, 40, 0, 0, 0, 2, 5, 47
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-users.js", "JavaScript", 0, 7, 0, 0, 0, 1, 3, 11
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\update-user.js", "JavaScript", 0, 51, 0, 0, 0, 2, 6, 59
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\index.js", "JavaScript", 0, 67, 0, 0, 0, 45, 12, 124
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\my-profile.js", "JavaScript", 0, 55, 0, 0, 0, 0, 6, 61
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\recently-visited.js", "JavaScript", 0, 93, 0, 0, 0, 1, 8, 102
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\watch-list.js", "JavaScript", 0, 144, 0, 0, 0, 3, 11, 158
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\Home.module.scss", "SCSS", 0, 0, 0, 72, 0, 0, 13, 85
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\MyProfile.module.scss", "SCSS", 0, 0, 0, 48, 0, 1, 9, 58
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\Show.module.scss", "SCSS", 0, 0, 0, 132, 0, 1, 25, 158
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\VideoStream.module.scss", "SCSS", 0, 0, 0, 134, 0, 5, 24, 163
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\globals.scss", "SCSS", 0, 0, 0, 16, 0, 3, 5, 24
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\temp.js", "JavaScript", 0, 17, 0, 0, 0, 1, 6, 24
"Total", "-", 4, 1191, 29, 527, 233, 89, 259, 2332
