"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "SVG", "Python", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\CreateReactComponent.py", "Python", 0, 0, 0, 0, 0, 57, 0, 0, 1, 17, 75
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\README.md", "Markdown", 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 46
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Footer\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\LoginSignUp\LoginSignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 326, 4, 21, 351
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\LoginSignUp\LoginSignUp.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 115, 0, 3, 18, 136
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 89, 0, 10, 99
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Navbar\Navbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 123, 0, 7, 19, 149
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\ShowCollection\ShowCollection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 3, 48
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\ShowCollection\ShowCollection.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 78, 0, 7, 18, 103
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Tabs\Tabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 4, 46
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\components\Tabs\Tabs.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 8, 42
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\jsconfig.json", "JSON with Comments", 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 8
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\middleware\mongoose.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 1, 4, 16
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\models\show.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\models\user.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\next.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\package-lock.json", "JSON", 592, 0, 0, 0, 0, 0, 0, 0, 0, 1, 593
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\[show]\[episode].js", "JavaScript", 0, 203, 0, 0, 0, 0, 0, 0, 2, 16, 221
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\[show]\index.js", "JavaScript", 0, 267, 0, 0, 0, 0, 0, 0, 4, 15, 286
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\_app.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 7, 63
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\_document.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\add-shows.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 1, 12, 82
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\add-user.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 2, 7, 51
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\chk-user.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 2, 5, 34
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-show.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 4, 17
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-shows.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 3, 12
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-specific-shows.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 4, 21
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-user.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 2, 5, 47
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\get-users.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 3, 11
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\hello.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\api\update-user.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 2, 6, 59
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\index.js", "JavaScript", 0, 190, 0, 0, 0, 0, 0, 0, 45, 19, 254
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\my-profile.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 6, 61
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\recently-visited.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 1, 8, 102
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\pages\watch-list.js", "JavaScript", 0, 144, 0, 0, 0, 0, 0, 0, 3, 11, 158
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\public\next.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\public\thirteen.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\public\vercel.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 267, 0, 1, 43, 311
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\MyProfile.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 48, 0, 1, 9, 58
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\Show.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 132, 0, 1, 25, 158
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\VideoStream.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 134, 0, 5, 24, 163
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\_config.scss", "SCSS", 0, 0, 0, 0, 0, 0, 69, 0, 2, 15, 86
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\styles\globals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 3, 7, 35
"d:\Academics\3rd Year\Sem 6\WT Mini Project\main-project\temp.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"Total", "-", 613, 1363, 4, 41, 3, 57, 1050, 518, 111, 409, 4169
